Marketing Funnel Plan (Lead > MQL > SQL > Customer),,,,,,,,,,,,,
Last updated: 2026-01-12,,,,,,,,,,,,,
,,,,,,,,,,,,,
Metric,Jan,Feb,Mar,Apr,May,June,July,August,September,October,November,December,
Revenue target ($),"$497,800","$332,740","$351,080","$301,300","$1,000,840","$1,202,580","$741,460","$673,340","$605,220","$605,220","$806,960","$806,960","$7,925,500"
Blended ACV ($),"$2,620","$2,620","$2,620","$2,620","$2,620","$2,620","$2,620","$2,620","$2,620","$2,620","$2,620","$2,620",
Customers (Closed Won) needed (exact),189.3,126.7,133.6,114.5,381.7,458.0,282.1,256.5,230.5,230.5,307.6,307.6,
Customers needed (rounded up),190,127,134,115,382,459,283,257,231,231,308,308,
Customers (Non-ICP) (exact),132.5,88.7,93.5,80.2,267.2,320.6,197.4,179.5,161.4,161.4,215.3,215.3,
Customers (ICP) (exact),56.8,38.0,40.1,34.4,114.5,137.4,84.6,76.9,69.2,69.2,92.3,92.3,
SQLs needed (exact),473.3,316.8,334.0,286.3,954.2,1145.0,705.2,641.2,576.3,576.3,769.1,769.1,
Estimated Revenue target ($),"$2,850,000","$1,905,000","$2,010,000","$1,725,000","$5,730,000","$6,885,000","$4,245,000","$3,855,000","$3,465,000","$3,465,000","$4,620,000","$4,620,000",
Estimated ACV ($),"$6,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000","$6,000",
SQLs needed total,475,318,335,288,955,1148,708,643,578,578,770,770,
SQLs (Non-ICP),331.3,221.8,233.8,200.4,200.4,667.9,801.5,493.6,448.9,403.4,403.4,538.4,
SQLs (ICP),142.0,95.0,100.2,85.9,286.3,343.5,211.5,192.4,172.9,172.9,230.7,230.7,
MQLs needed total,950.0,635.0,670.0,575.0,1910,2295,1415,1285,1155,1155,1540,1540,
MQLs (Non-ICP),665.0,444.5,469.0,402.5,1337,1607,991,900,809,809,1078,1078,
MQLs (ICP),285.0,190.5,201.0,172.5,573,689,425,386,347,347,462,462,
MQLs-low needed total,1188,794,838,719,2388,2869,1769,1606,1444,1444,1925,1925,
MQLs-low (Non-ICP),831,556,586,503,1671,2008,1238,1124,1011,1011,1348,1348,
MQLs-low (ICP),356,238,251,216,716,861,531,482,433,433,578,578,
Leads needed total,1979,1323,1396,1198,3979,4781,2948,2677,2406,2406,3208,3208,
Leads (Non-ICP),1385.4,926.0,977.1,838.5,2785.4,3346.9,2063.5,1874.0,1684.4,1684.4,2245.8,2245.8,
Leads (ICP),593.8,396.9,418.8,359.4,1193.8,1434.4,884.4,803.1,721.9,721.9,962.5,962.5,
