Marketing Funnel Plan (Lead > SQL > Customer),,,,,,
Last updated: 2026-01-12,,,,,,
,,,,,,
Metric,Q1,Q2,Q3,Q4,FY Total,
Revenue target ($),"$1,181,620","$2,504,720","$2,020,020","$2,219,140","$7,925,500",
Blended ACV ($),"$2,620","$2,620","$2,620","$2,620","$2,620",
Customers (Closed Won) needed (exact),451.0,955.7,771.0,847.0,3024.7,
Customers needed (rounded up),451,956,771,847,3025,
Customers (Non-ICP) (exact),315.7,669.0,539.7,592.9,2117.3,
Customers (ICP) (exact),135.3,286.7,231.3,254.1,907.4,
SQLs needed (exact),1127.5,2389.3,1927.5,2117.5,7561.8,
Estimated Revenue target ($),"$6,765,000","$14,340,000","$11,568,000","$12,708,000","$45,381,000",
Estimated ACV ($),"$6,000","$6,000","$6,000","$6,000","$6,000",
SQLs needed total,1128,2390,1928,2118,7564,
SQLs (Non-ICP),789.3,1672.5,1349.2,1482.3,5293.3,
SQLs (ICP),338.3,716.8,578.2,635.3,2268.5,
MQLs needed total,2255.0,3983.3,3213.3,3530.0,12982,
MQLs (Non-ICP),1578.5,2788.3,2249.3,2471.0,9087,
MQLs (ICP),676.5,1195.0,964.0,1059.0,3895,
MQLs-low needed total,2819,4979,4017,4413,16227,
MQLs-low (Non-ICP),1973,3485,2812,3089,11359,
MQLs-low (ICP),846,1494,1205,1324,4868,
Leads needed total,4698,8299,6694,7354,27045,
Leads (Non-ICP),3288.5,5809.0,4686.1,5147.9,18931.6,
Leads (ICP),1409.4,2489.6,2008.3,2206.3,8113.5,
